season,round,race_name,circuit_id,circuit_name,date
2019,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2019-03-31
2019,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2019-04-14
2019,4,Azerbaijan Grand Prix,baku,Baku City Circuit,2019-04-28
2019,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2019-05-12
2019,6,Monaco Grand Prix,monaco,Circuit de Monaco,2019-05-26
2019,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2019-06-09
2019,8,French Grand Prix,ricard,Circuit Paul Ricard,2019-06-23
2019,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2019-06-30
2019,10,British Grand Prix,silverstone,Silverstone Circuit,2019-07-14
2019,11,German Grand Prix,hockenheimring,Hockenheimring,2019-07-28
2019,12,Hungarian Grand Prix,hungaroring,Hungaroring,2019-08-04
2019,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2019-09-01
2019,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2019-09-08
2019,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2019-09-22
2019,16,Russian Grand Prix,sochi,Sochi Autodrom,2019-09-29
2019,17,Japanese Grand Prix,suzuka,Suzuka Circuit,2019-10-13
2019,18,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2019-10-27
2019,19,United States Grand Prix,americas,Circuit of the Americas,2019-11-03
2019,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2019-11-17
2019,21,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2019-12-01
2020,1,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2020-07-05
2020,2,Styrian Grand Prix,red_bull_ring,Red Bull Ring,2020-07-12
2020,3,Hungarian Grand Prix,hungaroring,Hungaroring,2020-07-19
2020,4,British Grand Prix,silverstone,Silverstone Circuit,2020-08-02
2020,5,70th Anniversary Grand Prix,silverstone,Silverstone Circuit,2020-08-09
2020,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2020-08-16
2020,7,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2020-08-30
2020,8,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2020-09-06
